Date,Product,Units_Sold,Revenue
2024-01-07,Software,208,152672.67
2024-01-07,Services,193,49483.11
2024-01-07,Hardware,203,97309.84
2024-01-07,Consulting,202,112008.99
2024-01-14,Software,156,108195.41
2024-01-14,Services,194,99589.12
2024-01-14,Hardware,212,121631.67
2024-01-14,Consulting,176,91311.05
2024-01-21,Software,202,128402.27
2024-01-21,Services,192,69599.88
2024-01-21,Hardware,197,42396.46
2024-01-21,Consulting,208,63227.13
2024-01-28,Software,184,97434.62
2024-01-28,Services,209,76903.71
2024-01-28,Hardware,202,91255.53
2024-01-28,Consulting,189,123739.75
2024-02-04,Software,166,118403.87
2024-02-04,Services,209,54068.4
2024-02-04,Hardware,200,60784.22
2024-02-04,Consulting,197,112193.48
2024-02-11,Software,206,87502.12
2024-02-11,Services,205,146348.25
2024-02-11,Hardware,207,50164.64
2024-02-11,Consulting,206,113601.86
2024-02-18,Software,229,99134.55
2024-02-18,Services,206,108638.24
2024-02-18,Hardware,229,177867.58
2024-02-18,Consulting,222,53638.93
2024-02-25,Software,179,45943.17
2024-02-25,Services,208,81408.16
2024-02-25,Hardware,216,148755.12
2024-02-25,Consulting,191,118046.08
2024-03-03,Software,205,131413.74
2024-03-03,Services,214,65583.24
2024-03-03,Hardware,211,167597.95
2024-03-03,Consulting,196,130506.16
2024-03-10,Software,193,138004.2
2024-03-10,Services,197,128586.97
2024-03-10,Hardware,179,90064.1
2024-03-10,Consulting,215,158522.5
2024-03-17,Software,195,144929.69
2024-03-17,Services,177,136296.58
2024-03-17,Hardware,232,134351.74
2024-03-17,Consulting,198,78645.35
2024-03-24,Software,207,139714.12
2024-03-24,Services,213,105786.91
2024-03-24,Hardware,171,79501.03
2024-03-24,Consulting,220,59452.85
2024-03-31,Software,183,104480.34
2024-03-31,Services,179,111084.08
2024-03-31,Hardware,174,108531.69
2024-03-31,Consulting,176,139389.14
2024-04-07,Software,195,134097.55
2024-04-07,Services,211,52771.19
2024-04-07,Hardware,212,96361.04
2024-04-07,Consulting,222,110017.66
2024-04-14,Software,170,45987.68
2024-04-14,Services,206,113304.38
2024-04-14,Hardware,238,88399.69
2024-04-14,Consulting,218,169589.51
2024-04-21,Software,174,135995.18
2024-04-21,Services,201,124107.29
2024-04-21,Hardware,198,109016.54
2024-04-21,Consulting,222,81824.3
2024-04-28,Software,198,72552.88
2024-04-28,Services,186,76634.11
2024-04-28,Hardware,203,159281.29
2024-04-28,Consulting,201,138343.68
2024-05-05,Software,208,155283.71
2024-05-05,Services,210,94698.62
2024-05-05,Hardware,227,51558.78
2024-05-05,Consulting,183,78421.82
2024-05-12,Software,216,96960.61
2024-05-12,Services,190,136578.35
2024-05-12,Hardware,217,102060.85
2024-05-12,Consulting,204,123016.16
2024-05-19,Software,205,54967.58
2024-05-19,Services,207,137321.94
2024-05-19,Hardware,201,106759.96
2024-05-19,Consulting,202,89302.12
2024-05-26,Software,182,118860.99
2024-05-26,Services,205,67194.59
2024-05-26,Hardware,182,74684.16
2024-05-26,Consulting,204,94346.93
2024-06-02,Software,222,112863.4
2024-06-02,Services,213,122102.68
2024-06-02,Hardware,200,95096.29
2024-06-02,Consulting,193,66408.86
2024-06-09,Software,175,48444.81
2024-06-09,Services,183,106968.05
2024-06-09,Hardware,185,136543.51
2024-06-09,Consulting,199,60374.99
2024-06-16,Software,186,56053.15
2024-06-16,Services,190,48112.09
2024-06-16,Hardware,181,58607.84
2024-06-16,Consulting,194,119161.96
2024-06-23,Software,205,148450.17
2024-06-23,Services,224,82012.36
2024-06-23,Hardware,214,66492.5
2024-06-23,Consulting,187,91763.48
2024-06-30,Software,205,97891.77
2024-06-30,Services,211,74158.52
2024-06-30,Hardware,209,105964.35
2024-06-30,Consulting,201,94157.93
